pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
390.469584,208.502595,278.768695,193.499367,359.860000,176.810000,458.487281,115.602146,401.582917,244.475488,343.109317,252.631789,285.679119,157.141282
393.332507,208.749215,278.768695,193.499367,360.890000,178.810000,457.692109,116.424127,402.180000,246.980000,342.435612,252.892946,285.679119,159.254623
395.400173,208.872525,276.753858,194.540750,361.870000,180.850000,457.692109,116.629622,402.910000,249.160000,342.435612,253.415260,286.133433,160.311293
398.581199,209.365766,275.746439,196.883862,362.800000,182.800000,457.692109,118.068088,405.365378,254.670440,342.435612,258.377239,289.540792,164.714088
400.330763,209.612386,274.067408,201.049394,363.880000,184.760000,457.824638,118.890069,405.651981,258.225628,342.772464,259.160709,292.039522,165.770758
400.807917,209.735697,273.059989,203.652852,364.710000,186.860000,457.824638,119.609302,405.651981,262.447414,343.783022,264.645002,297.945610,167.884099
401.921276,210.105627,270.037733,207.037347,360.154062,191.692990,457.559581,120.636777,406.511790,265.558204,343.783022,264.645002,297.945610,168.236323
403.352737,210.475558,268.022896,209.380459,360.488483,189.618813,457.559581,120.636777,409.091218,266.447001,343.783022,267.256571,298.172767,170.349664
405.261352,210.722178,264.664833,211.983917,359.150798,194.285711,457.459649,122.460704,409.091218,266.891399,342.939506,266.546478,298.172767,170.349664
406.692814,211.215419,263.321608,214.066683,359.150798,196.619160,456.542421,123.961943,409.091218,268.891193,341.741809,267.939314,298.172767,171.054111
409.555737,212.078590,262.314190,216.930487,358.950000,199.120000,456.542421,123.961943,409.377821,270.668787,341.741809,268.867872,299.762868,173.343564
410.828147,212.818451,261.642577,218.752907,358.950000,201.380000,456.134765,125.463182,410.020000,272.400000,341.741809,271.653545,299.762868,173.871899
